
  Group   Upper      Critical   Inf.Med.   Critical   Inf.Med.  
   No    Energy(eV)   Flux       Flux      Adj.Flux   Adj.Flux  

   152  2.7700E+00  2.468E-03  2.468E-03  5.117E-03  5.117E-03
   153  2.6700E+00  2.474E-03  2.474E-03  4.934E-03  4.934E-03
   154  2.5700E+00  2.469E-03  2.469E-03  4.748E-03  4.748E-03
   155  2.4700E+00  2.452E-03  2.452E-03  5.073E-03  5.073E-03
   156  2.3800E+00  2.433E-03  2.433E-03  5.511E-03  5.511E-03
   157  2.3000E+00  2.448E-03  2.448E-03  4.725E-03  4.725E-03
   158  2.2100E+00  2.449E-03  2.449E-03  4.530E-03  4.530E-03
   159  2.1200E+00  2.380E-03  2.380E-03  3.176E-03  3.176E-03
   160  2.0000E+00  2.418E-03  2.418E-03  6.164E-03  6.164E-03
   161  1.9400E+00  2.452E-03  2.452E-03  4.495E-03  4.495E-03
   162  1.8600E+00  2.461E-03  2.461E-03  3.824E-03  3.824E-03
   163  1.7700E+00  2.467E-03  2.467E-03  3.636E-03  3.636E-03
   164  1.6800E+00  2.474E-03  2.474E-03  3.448E-03  3.448E-03
   165  1.5900E+00  2.475E-03  2.475E-03  3.259E-03  3.259E-03
   166  1.5000E+00  2.473E-03  2.473E-03  5.602E-03  5.602E-03
   167  1.4500E+00  2.479E-03  2.479E-03  5.412E-03  5.412E-03
   168  1.4000E+00  2.479E-03  2.479E-03  5.221E-03  5.221E-03
   169  1.3500E+00  2.461E-03  2.461E-03  5.029E-03  5.029E-03
   170  1.3000E+00  2.444E-03  2.444E-03  4.836E-03  4.836E-03
   171  1.2500E+00  2.412E-03  2.412E-03  9.386E-03  9.386E-03
   172  1.2250E+00  2.376E-03  2.376E-03  9.212E-03  9.212E-03
   173  1.2000E+00  2.337E-03  2.337E-03  9.028E-03  9.028E-03
   174  1.1750E+00  2.288E-03  2.288E-03  8.866E-03  8.866E-03
   175  1.1500E+00  2.256E-03  2.256E-03  2.184E-02  2.184E-02
   176  1.1400E+00  2.248E-03  2.248E-03  2.169E-02  2.169E-02
   177  1.1300E+00  2.245E-03  2.245E-03  2.154E-02  2.154E-02
   178  1.1200E+00  2.246E-03  2.246E-03  2.135E-02  2.135E-02
   179  1.1100E+00  2.250E-03  2.250E-03  2.115E-02  2.115E-02
   180  1.1000E+00  2.256E-03  2.256E-03  2.099E-02  2.099E-02
   181  1.0900E+00  2.264E-03  2.264E-03  2.083E-02  2.083E-02
   182  1.0800E+00  2.272E-03  2.272E-03  2.062E-02  2.062E-02
   183  1.0700E+00  2.281E-03  2.281E-03  2.042E-02  2.042E-02
   184  1.0600E+00  2.290E-03  2.290E-03  2.025E-02  2.025E-02
   185  1.0500E+00  2.299E-03  2.299E-03  2.008E-02  2.008E-02
   186  1.0400E+00  2.308E-03  2.308E-03  1.987E-02  1.987E-02
   187  1.0300E+00  2.318E-03  2.318E-03  1.968E-02  1.968E-02
   188  1.0200E+00  2.332E-03  2.332E-03  1.947E-02  1.947E-02
   189  1.0100E+00  2.345E-03  2.345E-03  1.932E-02  1.932E-02
   190  1.0000E+00  2.354E-03  2.354E-03  7.584E-03  7.584E-03
   191  9.7500E-01  2.349E-03  2.349E-03  7.391E-03  7.391E-03
   192  9.5000E-01  2.355E-03  2.355E-03  7.198E-03  7.198E-03
   193  9.2500E-01  2.359E-03  2.359E-03  7.005E-03  7.005E-03
   194  9.0000E-01  2.379E-03  2.379E-03  3.357E-03  3.357E-03
   195  8.5000E-01  2.386E-03  2.386E-03  3.165E-03  3.165E-03
   196  8.0000E-01  2.387E-03  2.387E-03  2.973E-03  2.973E-03
   197  7.5000E-01  2.423E-03  2.423E-03  2.782E-03  2.782E-03
   198  7.0000E-01  2.395E-03  2.395E-03  2.591E-03  2.591E-03
   199  6.5000E-01  2.404E-03  2.404E-03  4.896E-03  4.896E-03
   200  6.2500E-01  2.442E-03  2.442E-03  4.705E-03  4.705E-03
   201  6.0000E-01  2.392E-03  2.392E-03  2.208E-03  2.208E-03
   202  5.5000E-01  2.426E-03  2.426E-03  2.017E-03  2.017E-03
   203  5.0000E-01  2.344E-03  2.344E-03  1.826E-03  1.826E-03
   204  4.5000E-01  2.330E-03  2.330E-03  1.634E-03  1.634E-03
   205  4.0000E-01  2.287E-03  2.287E-03  2.983E-03  2.983E-03
   206  3.7500E-01  2.247E-03  2.247E-03  2.790E-03  2.790E-03
   207  3.5000E-01  2.104E-03  2.104E-03  2.597E-03  2.597E-03
   208  3.2500E-01  2.193E-03  2.193E-03  2.402E-03  2.402E-03
   209  3.0000E-01  2.015E-03  2.015E-03  2.206E-03  2.206E-03
   210  2.7500E-01  2.149E-03  2.149E-03  2.012E-03  2.012E-03
   211  2.5000E-01  2.130E-03  2.130E-03  1.820E-03  1.820E-03
   212  2.2500E-01  2.113E-03  2.113E-03  1.629E-03  1.629E-03
   213  2.0000E-01  2.272E-03  2.272E-03  1.439E-03  1.439E-03
   214  1.7500E-01  2.360E-03  2.360E-03  1.249E-03  1.249E-03
   215  1.5000E-01  2.431E-03  2.431E-03  1.058E-03  1.058E-03
   216  1.2500E-01  2.621E-03  2.621E-03  8.663E-04  8.663E-04
   217  1.0000E-01  2.711E-03  2.711E-03  1.837E-03  1.837E-03
   218  9.0000E-02  2.785E-03  2.785E-03  1.644E-03  1.644E-03
   219  8.0000E-02  2.664E-03  2.664E-03  1.452E-03  1.452E-03
   220  7.0000E-02  2.563E-03  2.563E-03  1.258E-03  1.258E-03
   221  6.0000E-02  2.368E-03  2.368E-03  1.064E-03  1.064E-03
   222  5.0000E-02  2.018E-03  2.018E-03  8.700E-04  8.700E-04
   223  4.0000E-02  1.589E-03  1.589E-03  6.745E-04  6.745E-04
   224  3.0000E-02  1.189E-03  1.189E-03  1.138E-03  1.138E-03
   225  2.5300E-02  5.792E-04  5.792E-04  2.082E-04  2.082E-04
   226  1.0000E-02  1.970E-04  1.970E-04  6.689E-04  6.689E-04
   227  7.5000E-03  1.063E-04  1.063E-04  4.733E-04  4.733E-04
